id,titleMain,titleSub,shortName,displayMode,edition,authorKeyBnf,authorKeyPnd,authorKeyVIAF,authorKeySUDOC,authorKeyWikidata,author,mtlAuId,publisher,musicBy,mtPbId,collection,licence,target,genre,sous-genre,ambiance,wikidata,numistralSource,urlNotNumistral,bnfSource,source,authorKeyBnf2,authorKeyPnd2,author2,publisher2,publisherFirstEdition,mtPbIdFed,print,thisEdition,premiere,premiereDate,written,premiereCity,premiereTheater,nb actes,nb scenes/acte,hasScenes,castListLang,castListIntro,roleDescSeparator,lang,comments,synthesis
48,D'r Napoleon,Volksstück in 3 Aufzügen aus der Zeit November 1918,weber-dr-napoleon,html,1,,,,,Q97120017,Charles Weber,29,"Société Alsacienne d'Édition (Alsatia) S. A., Colmar",,10,,,,comedy,volksstück,rurale,Q106604955,bpt6k9109599q,,,Numistral,,,,,,,1920,,,,,,,3,1:13 scenes - 2:17 scenes - 3:8 scenes,,ger,Personen:,,,,"Volksstück en 3 actes . La pièce se situe en novembre 1918, l’arrivée des Français après l’armistice de la Grande Guerre. Un grand quiproquo entre un village entier et un soldat alsacien sachant parler français. Les villageois croient qu’il est Napoléon et font ainsi toutes sortes de cérémonies pour lui montrer leur respect et leur admiration. La difficulté à parler français des Alsaciens est comblée par leur amour patriotique sincère. Beaucoup de personnages et un comique de répétition et de situation.  (Synopsis by A. Li-Thiao-Té, MeThAL)"
49,D'r Parisler,"Elsässisches Volksstück mit Gesang und Tanz in einem Aufzug, Gesangseinlagen von J. Heyberger u. Johannes Pache",riff-dr-parisler,ntav,,,,,,Q96696621,Jean Riff,21,A. Bartl.,,21,,,,comedy,volksstück,rurale,,bpt6k9109583v,,,Numistral,,,,,,,1904,,,,,,,1,18,,ger,Personen:,,,need to encode voice. Has Gesang,
50,D'r Prophet,Drama in fünf Aufzügen,stoskopf-dr-prophet,html,,,,,,Q923554,Gustave Stoskopf,25,Schlesier & Schweikhardt,,1,,,,drama,,rurale (4. Aufzug urbaine),Q107505749,bpt6k9109594n,,,Numistral,,,,,,,1902,,1902,29 november 1902,,,Stadttheater zu Straßburg,5,,,ger,Personen:,,,,"Synopsis by Henri Schoen (Le théâtre populaire en Alsace, 1903)

“Le Prophète” est peut-être le drame le plus puissant et le plus émouvant de M. Stoskopf. C'est l'histoire d'un jeune idéaliste qui habite une petite ville perdue au pied des Vosges. Léonard Frey — tel est le nom du héros — rêve de faire jouir ses concitoyens de quelques-uns des avantages de la civilisation moderne. Mais il se heurte contre la sottise ou la servilité des paysans, contre les intérêts matériels de quelques gros bonnets de l'endroit et contre l'esprit de routine de tous. Le conflit éclate lorsqu'il est question de relier la localité au reste du monde par un chemin de fer. Le maire de l'endroit, qui tient une grande auberge et est chargé du service de la poste, voit son commerce menacé. Tous ceux qui vivent du service de la diligence, charrons, forgerons, selliers, charretiers et gargotiers, montent une cabale contre le promoteur de l'idée nouvelle.

C'est en vain que la fille du maire, la charmante Marguerite, la fiancée de Léonard, cherche à apaiser son père. On accuse le pauvre réformateur d'être l'auteur d'un incendie qui a dévoré la ferme de son principal adversaire. Toutes les apparences sont contre lui. Son rival prétend l'avoir vu sauter par-dessus la haie. On a trouvé sur les lieux un calepin qui lui a appartenu et que son adversaire a su habilement glisser sous une haie de la propriété ravagée par le feu. L'accusé ne peut fournir d’alibi, ne voulant pas trahir sa fiancée avec laquelle il a passé la soirée de l'incendie. Il est garotté, mis en prison. Sa pauvre mère meurt de chagrin. Sa fiancée est enfermée, malade, dans un couvent. Léonard est jugé par le tribunal du chef-lieu du département. Sa condamnation n'est plus douteuse. Déjà le procureur général a terminé son discours et demandé la condamnation du prévenu. Déjà son défenseur a prononcé une plaidoirie émue. Déjà les jurés se sont réunis pour délibérer. Déjà leur président a commencé la lecture de la sentence, quand la fiancée de Léonard apparaît dans la salle d'audience. Elle s'est échappée de son couvent. D'une voix retentissante, elle affirme l'innocence de son fiancé. Elle apporte la preuve de l'alibi de Léonard. Le jugement est cassé et révisé. Et les vrais coupables, c'est-à-dire le rival de Léonard et le maire, le père de Marguerite, sont emprisonnés à la place du réformateur.

Mais la vie des deux jeunes gens est brisée à tout jamais. Marguerite, dont le père s'est pendu en prison, met à exécution l'un des projets de son fiancé en fondant un hospice pour les vieillards. Quant à Léonard, il quitte le pays natal, il parcourt le monde; et, partout, on repousse avec dédain ses rêves charitables. Vingt-cinq ans plus tard, il revient au pays, épuisé et malade, pour mourir dans l'hospice créé et dirigé par celle qu'il a tant aimée. Mais ses rêves se sont réalisés en dépit de l'opposition et des intérêts coalisés; et, avant de mourir, le prophète peut voir serpenter, au fond de la vallée, la fumée blanche et légère du chemin de fer qui a anéanti son bonheur et celui de sa fiancée.

L'idée essentielle du drame peut se résumer en peu de mots. L'égoïsme et les intérêts matériels, l'esprit de routine et la superstition ont beau se coaliser contre le progrès, les réformes vraiment utiles et nécessaires se réalisent envers et contre tous. Le prophète qui les a entrevues et annoncées tombe souvent victime de la haine ou de la superstition. Mais qu'importe? Ses idées triomphent. Ses rêves se réalisent. Le réformateur succombe, mais la réforme s'accomplit. Une existence a été sacrifiée, mais le monde suit son évolution vers le mieux. Dans l'océan de la vie, une vague s'est entr'ouverte, une vague s'est refermée; mais le flot ne s'est pas interrompu, et la vie continue à évoluer du même pas monotone et inflexible."
51,D'r Schnider von Gambse,Lustspiel von H. Kleisecker,kleisecker-dr-schnider-von-gambse,html,,,,,,Q96497696,H. Kleisecker,12,"Herausgebeben von Jul. Schies  Gesellenpräses. Selbstverlag des Herausgebers, Straßburg",,2,,,,comedy,lustspiel,rurale,Q107261261,bpt6k91097431,,,Numistral,,,,,,,1920,,,,,,,1,16,,ger,Personen:,,,"also has songs, looks like couplets",
52,Bureaukrate!,Dialektkomödie in einem Akt,kuehne-bureaukrate,tei,,,,,,Q96622965,Fernand Kuehne,13,Société Alsacienne d'Edtion „Alsatia“ S. A.,,10,,,,comedy,,urbaine,Q106558114,bpt6k9109624b,,,Numistral,,,,,,,1923,,,,,,,1,15,,ger,Personen:,,,,
53,D'r erscht Box,Schwank in aam Uffzug,riff-dr-erscht-box,ntav,,,,,,Q96696621,Jean Riff,21,"Druck von J. H. Ed. Heitz (Heitz & Mündel), Straßburg",,11,,,,comedy,schwank,urbaine,,bpt6k91095811,,,Numistral,,,,,,,1908,,,,,,,1,,,gsw,Personen:,,,,
54,Zue Großmuedders Zitte (Du temps des grand'mères),E Liewes-Scene mit ine Couplet,bastian-zue-grossmuedders-zitte,ntav,,,,,,Q13099282,Ferdinand Bastian,1,C. A. Vomhoff,,5,,,,comedy,liewes-scene,urbaine,,bpt6k91097075,,,Numistral,,,,,,,1922,,,,,,,1,3,,ger,Personen:,,,looks like has song at end,
55,E Hochzitter im Kleiderkaschte,Schwank in einem Aufzug in Straßburger Mundart,greber-e-hochzitter-im-kleiderkaschte,html,2,,,,,Q91904226,Julius Greber,5,Schlesier & Schweikhardt,,1,,,,comedy,schwank,urbaine,Q107248672,bpt6k9109558s,,,Numistral,,,,,"J. H. Ed. Heitz (Heitz & Mündel) (Jahrbuch für Geschichte, Sprache und Litteratur Elsass-Lothringens. X. 1894)",11,1894,1900,,,,,,1,17,,ger,Personen.,,, ,
56,300 Mark Belohnung,Schwank in einem Aufzug im elsässischer Mundart,greber-300-mark-belohnung,ntav,,,,,,Q91904226,Julius Greber,5,Schlesier & Schweikhardt,,1,,,,comedy,schwank,petite ville,,bpt6k9109557c,,,Numistral,,,,,,,1910,,,,,,,1,11,,ger,Personen:,,,it's a gasthof not just a tavern,
57,Heimlichi Lieb,Elsässisch's Volksstüeck in 7 Bilder,fuchs-heimlichi-lieb,html,,,,,,Q96464816,Ernst Fuchs,4,"Gundershoffen, Édition de théatre et de musique L. Jaggi-Reiss",,2,,,,drama,volksstück,rurale,Q106605591,bpt6k9109729r,,,Numistral,,,,,,,1914,,1935,14. Jänner 1935,,,Stadttheater Strossburri,7 Bilder,1:5 scenes - 2:2 scenes - 3:4 scenes - 4:4 scenes - 5:1 scene - 6:5 scenes - 7:5 scenes,,gsw,Persone,,,,
58,S'Vogesehiesel,Luschtspiel üss dr Vosges in 1 Akt vun Paul Clemens Nach einer alten Kalendererzählung,clemens-s-vogesehiesel,ntav,,,,,,Q96464291,Paul Clemens,3,"Colmar, Société Alsacienne d'Édition Alsatia, S. A. ",,10,,,,comedy,lustspiel,rurale (lieu de vacances),,bpt6k9109548d,,,Numistral,,,,,,,1920,,,,,,,1,14,,gsw,Personen:,,,,
59,Ar esch mondsechtig,E Luschtspeel vun dr Wohnungsnot en 1 Uffzug umgearbeitet und herausgegeben von Albert Schott,schott-ar-esch-mondsechtig,ntav,,,,,,Q96749138,Albert Schott,23,"Buchdruckerei des „Elsässer“, Straßburg",,9,,,,comedy,lustspiel,urbaine,,bpt6k91097646,,,Numistral,,,,,,,1921,,,,,,,1,13,,gsw,Persone:,,,,
60,Verboteni Lieb,Lustspiel in einem Aufzug in Straßburger Mundart von Jean Riff,riff-verboteni-lieb,ntav,,,,,,Q96696621,Jean Riff,21,Schlesier & Schweikhardt,,1,,,,comedy,lustspiel,rurale,,bpt6k9109589b,,,Numistral,,,,,,,1906,,,,,,,1,,,ger,Personen:,,,,
61,s' Paradies,E luschdigs Schwänkele in aam Uffzug von Jean Riff,riff-s-paradies,tei,,,,,,Q96696621,Jean Riff,21,"Verlag von E. Finck, Alsatica-Verlag, Strasbourg",,7,,,,comedy,schwank,urbaine,Q106559140,bpt6k9109589b,,,Numistral,,,,,,,1922,,,,,,,1,5,,gsw,Persone:,,,ich bin gspannt wie e Bareplee biem Räejewetter,
62,Lisbeth,Schauspiel in einem Aufzuge,greber-lisbeth,ntav,,,,,,Q91904226,Julius Greber,5,Schlesier & Schweikhardt,,1,,,,drama,,urbaine,,bpt6k9109505n,,,Numistral,,,,,,,1900,,,,,,,1,,,ger,Personen:,,,pièce en Hochdeutsch,
63,Gouverneur fur 24 Stund,"E Schwank in 1 Akt nooch're spanische, g'schichtliche Erzählung üss'm Johr 1420, verarweit unn iwersetzt vum Camille Jost",jost-gouverneur-fur-24-stund,html,,,,,,Q96489174,Camille Jost,11,"F. X Le Roux et Cie, Strasbourg",,3,Le Roux Elsässisches Vereinstheater N° 51,,,comedy,schwank,urbaine,Q106605953,bpt6k9109690b,,,Numistral,,,,,,,1928,,,,,,,1,27,,gsw,Persone:,,,,"Schwank, pièce en 1 acte. L’histoire se situe en 1420 et il y a la famine en Espagne. C'est l'histoire d'un père cordonnier pauvre (Sancho) qui est bon et brave ainsi que son fils Pepito, qui lui est meilleurs amis avec le fils d'un gouverneur noble (Pablo). Sancho soupçonne le gouverneur Don Enriquo et un grand marchand Gutteriez de garder tout un sous-sol de nourriture pour pouvoir le revendre beaucoup plus cher au pauvre peuple. Le roi Pedro (incognito) va à la rencontre de Sancho et de Pepito et apprécie leur honnêté. Il permet à Sancho de devenir gouveneur pour 24 heures car celui-ci prétend de pouvoir sauver le peuple de la famine. Les deux nobles-escrocs sont démasqués à la fin mais épargnés d'une punition sévère parce que Pepito le demande (pour remercier son meilleur ami Pablo, fils du Don Enriquo d’avoir donné de la nourriture à lui et son père maintes fois). La pièce met en scène la rencontre de deux classes sociales différentes mais ne ridiculise pas les personnages nobles comme le font d’autres dramaturges (Heimlichi Lieb; D’r Herr Maire). Le moral de l’histoire est que la valeur d’une personne ne se mesure pas à son statut de naissance mais à ses actions. (Synopsis par Audrey Li-Thiao-Té, MeThAL)"
64,D'r Babbler,Volksstück in drei Szenen von Gustav Lasch,lasch-dr-babbler,html,,,,,,Q96634160,Gustav Lasch,14,"J. H. Ed. Heitz (Heitz & Mündel), Straßburg",,11,"Elsässische Volksschriften, Heft 75",,,comedy,volkstück,urbaine,,bpt6k9109532j,,,Numistral,,,,,,,1911,,,,,,,1,3,,gsw,Personen:,,,nice combination of traditional and new professions (autoverkaufer and schuhmacher),
65,Lettre de France,"E-n-elsässischs Heimetspiel, gedicht uff's Bild vum Frédéric Régamey vun F. X. Neukirch (Zuem erschte Mol gespielt am Banquet vum H.S.)",neukirch-lettre-de-france,ntav,,,,,,Q96655360,F. X. Neukirch,17,inconnu,,n.d.,,,,historisch,heimetspiel,rurale,,bpt6k9109532j,,,Numistral,,,,,,,1910,,,,,,,1,,,gsw,Persone:,,,"mise en page très différente des autres pièces
mixes alsatian and french",
66,Mister Smith,Schwank in einem Aufzug in Strassburger Mundart von Julius Greber,greber-mister-smith,ntav,,,,,,Q91904226,Julius Greber,5,Schlesier & Schweikhardt,,1,,,,comedy,schwank,urbaine,,bpt6k9109560v,,,Numistral,,,,,,,1911,,,,,,,1,12,,ger,Personen:,,,,
67,Uewer unseri Kraft,Komödie in eim Uffzug.,riff-uewer-unseri-kraft,ntav,,,,,,Q96696621,Jean Riff,21,Verlag von F. X. Le Roux u. Co.,,3,,,,comedy,,rurale,,bpt6k9109588x,,,Numistral,,,,,,,1907,,,,,,,1,,,gsw,Personen:,,,,
68,E hitzigi Debatt',(Nach einer älteren Idee.) E üssergewöhnlichi Wirtshüs-Scen'.,riff-e-hitzigi-debatt,ntav,,,,,,Q96696621,Jean Riff,21,Verlag von F. X. Le Roux u. Co.,,3,,,,comedy,wirthshüs-scene,rurale,,bpt6k9109588x,,,Numistral,,,,,,,1907,,,,,,,1,,,gsw,Persone:,,,,
69,So e liederlicher Frack!,odder:E foljieschwäri Hüssuechung. E Schwank in 1 Uffzug,jost-so-e-liederlicher-frack,tei,,,,,,Q96489174,Camille Jost,11,"F. X. Le Roux & Cie, Strasbourg",,3,"Le Roux Elsässisches Vereinstheater, Nº 52",,,comedy,schwank,urbaine,Q106606149,bpt6k9109689p,,,Numistral,,,,,,,1928,,,,,,,1,19,,gsw,Persone:,,,,"Comédie en 1 acte. Les deux frères Frosch ont une grande entreprise et aimeraient faire une bonne affaire avec l’entreprise Burjer en faisant marier leur neveu Robert avec la fille de Burjer, Yvonne. Robert cependant ne veut pas marier quelqu’un qu’il ne connaît pas, car il est déjà amoureux d’une autre jeune femme - qui s’avère être cette même Yvonne. Ainsi se construit toute la pièce, remplie de quiproquos. Les frères Georges et Michel Frosch cherchent sans autorisation dans les affaires de Robert pour savoir s’il a déjà une amante ou pas. Robert décide donc de leur jouer une farce pour les punir: il leur laisse une lettre qui leur informe qu’ils sont sous surveillance car soupçonnés pour crime politique. Les Frosch sont tous les deux paranoïaques d’être arrêtés, et vident donc leur appartement d’objets « compromettants » pour qu’ils soient politiquement corrects. Leur peur irrationnelle et ridicule est exagérée et lâche: ils ne veulent offenser aucun parti politique et donc préfèrent se débarrasser de tout objet qu’on pourrait vaguement relier à une idéologie politique quelconque. Burjer arrive pour faire la connaissance de son futur beau-fils Robert. Celui-ci nie cependant son identité et décrit la famille Frosch de la façon la plus répugnante possible pour décourager Burjer de donner la main de sa fille à Robert Frosch. Deux policiers sont en mission pour arrêter un escroc, déguisé en habits de femme. Celui-ci s’est caché dans l’appartement Frosch, dans une valise sans fond. Comme les frères Frosch voulaient se débarrasser de leurs biens « compromettants », ils se font tous les deux faussement soupçonnés par les policiers d’être l’escroc recherché. Au final le mystère se dénoue avec le rassemblement de tous les personnages dans l’appartement: Robert avoue d’être à l’origine de la farce sur ses oncles et aussi d’avoir menti à Burjer, tout pour ne pas marier quelqu’un d’autre que son bien-aimée - mais en découvrant l’identité de la fille de Burjer, tout est pardonné et l’escroc se fait arrêter.  (Synopsis by A. Li-Thiao-Té, MeThAL)"
70,Gift!,Schwank in einem Akt in elsässischer Mundart,clemens-gift,tei,2,,,,,Q96464291,Paul Clemens,3,Société alsacienne d'édition (Alsatia),,10,,,,comedy,schwank,urbaine,Q106554879,bpt6k9109546k,,,Numistral,,,,,,,1919,,,,,,,1,15,,gsw,Personen,,,,"Schwank (farce) en 1 acte. Steinle est un homme de 60 ans qui n’a pas de confiance en la médecine moderne, mais croit plutôt aux remèdes trouvés dans un vieux livre d’origine douteuse. Son neveu Robert vient de réussir ses examens de médecin et aimerait lui emprunter 5000 francs pour ouvrir un cabinet de médecin. L’oncle refuse mais accepte de faire un pari, étant certain qu’il ne demandera jamais l’aide d’un médecin (métier qu’il dénigre). Robert décide donc de lui jouer un tour de farce en collant une étiquette de poison sur une bouteille de schnaps. Avec son ami Barasoll et le domestique Daniel, Steinle boit dans la bouteille et se rend compte trop tard du contenu prétendument létal. Désespérés, ils demandent l’aide d’un médecin et Robert leur fait guérir miraculeusement (pouvoir du placebo). Après la révélation de la farce, Steinle avoue son défait et déclare sa confiance retrouvée pour la médecine, et aussi son estime pour son neveu.  (Synopsis by A. Li-Thiao-Té, MeThAL)"
71,E Mann fur mini Nièce,Comédie-Bouffe in eim Akt von D. G. Ad. Horsch,horsch-e-mann-fur-mini-niece,ntav,2,,,,,Q13099277,Adolphe Horsch,9,"J. H. Ed. Heitz (Heitz & Mündel), Straßburg",,11,"Elsässische Volksschriften, Heft 66",,,comedy,comedie-bouffe,urbaine,,bpt6k9109530q,,,Numistral,,,,,,,1895,1908,,,,,,1,11,,,,,,,
72,Verzwickti Hochzitts-Affäre,Elsässischer Schwank in einem Aufzug (frei nach Labiche),greber-verzwickti-hochzitts-affare,ntav,,,,,,Q91904226,Julius Greber,5,"Verlag von Paul Schweikhardt, Straßburg",,19,,,,comedy,schwank,urbaine,,bpt6k9109564h,,,Numistral,,,,,,,1913,,,,,,,1,17,,ger,Personen:,,,,
73,Professer Dackeloriüs mit sim künstliche Mensch « Coco »,E komischi Scène für 2 Persone vun Paul CLEMENS,clemens-professer-dackelorius,ntav,,,,,,Q96464291,Paul Clemens,3,Theater & Musikverlag Rouffach Imprimerie Keller-Immele,,18,,,,comedy,komischi scene,urbaine,Q107246974,bpt6k9109654g,,,Numistral,,,,,,,1925,,,,,,,1,,,0,0,,,il y a pas de castList,
74,Michel Strohkopf oder Die fidele Regimentskapelle,"Unsinn mit Gesang, Musik und Tanz in einem Aufzug",muhleisen-michel-strohkopf,html,,,,,,Q1681007,Alfred Mühleisen (alleged author),32,E. Gottlieb,,31,"Théatre de Schillik, V",,,comedy,unsinn,rurale,Q106558925,bpt6k91095989,,,Numistral,,,,,,,1893,,,,,,,1,14,,ger,Personen:,,,"has songs, including a couplet final
several songs with rhyme",
75,Neui Hosse,Comédie-Bouffe in eim Akt von D. G. Ad. Horsch,horsch-neui-hosse,html,2,,,,,Q13099277,Adolphe Horsch,9,"J. H. Ed. Heitz (Heitz & Mündel), Straßburg",,11,"Elsässische Volkschriften, 31",,,comedy,comedie-bouffe,urbaine,Q107248106,bpt6k9109744f.,,,Numistral,,,,,,,1908,,,,,,,1,11,,gsw,Personen:,,,,"Ziwelbloos, sa femme Salome et sa fille Rickele attendent Emil Federköhl, un homme qui veut faire sa demande en mariage à Rickele. Ils doivent cependant partir pour régler une affaire de vente de terrains, et disent à la servante Rosalie d’accueillir Emil et de le faire patienter quand il arrivera. Emile arrive et reconnaît Rosalie, et elle lui reproche de l’avoir oubliée. Rosalie est triste et choquée d’apprendre qu’il va se marier à Rickele. Lorsque Emil va s’asseoir, son pantalon se déchire. Il n’a pas le temps de rentrer chez lui pour se changer, car Ziwelbloos, Salome et Rickele arrivent. Ils font connaissance mais tout le monde trouve que Emil est timide et gêné car il se tient bizarrement. Pendant que Ziwelbloos, Salome et Rickele se disputent à nouveau au sujet des terrains, Emil s’en va. Les autres veulent alors le rattraper et envoient Rosalie à sa recherche. Emil est rentré chez lui mais personne n’était là pour l’aider à réparer son pantalon, et il est donc retourné chez les Ziwelbloos. Il demande à Rosalie de recoudre son pantalon. Pendant que Emil et Rosalie cherchent l’aiguille qui est tombée par terre, Ziwelbloos, Salome et Rickele entrent et sont choqués car ils pensent avoir interrompu quelque chose. Ils renvoient Emil, mais quand Rosalie explique qu’il cherchait seulement à réparer son pantalon, ils décident de le faire revenir. Tout le monde est rassuré et Rickele et Emil vont se marier. (Synopsis by B. Hoff, MeThAL)"
76,D'r lätz Bardessü,Lustspiel ein einem Aufzug von Julius Greber,greber-dr-latz-bardessu,ntav,,,,,,Q91904226,Julius Greber,5,Schlesier & Schweikhardt,,1,,,,comedy,lustsspiel,urbaine,,bpt6k9109556z,,,Numistral,,,,,,,1904,,,,,,,1,13,,gsw,Personen:,,,,
77,D'r letz Unkel,Volksstueck,lasch-dr-letz-unkel,ntav,,,,,,Q96634160,Gustav Lasch,14,Buchdrukerei S. Brunschweig in Kappoltsweiler (Ober-Elsaß),,24,,,,comedy,volksstück,urbaine,,bpt6k9109573g,,,Numistral,,,,,,,1912,,,,,,,1,2,,gsw,Personen:,,,,
78,Im Wald,Volksstück in zwei Aufzügen,bastian-im-wald,ntav,,,,,,Q13099282,Ferdinand Bastian,1,C. A. Vomhoff,,5,,,,comedy,volksstück,rurale,,bpt6k91095366,,,Numistral,,,,,,,1907,,,,,,,2,1:5 auftritte - 2:5 auftritte,,ger,Personen:,,,,
79,Was d' Steckelburjer vun d'r „Université“ saaue,"Humoristisches Intermezzo von Dr. Heinrich Schneegans Privatdocent, Aufgeführt zum Universitäts-Jubiläum am 2. Mai 1897",schneegans-steckelburjer-universite-saaue,tei,,,,,,Q1598786,Heinrich Schneegans,22,Schlesier & Schweikhardt,,1,,,,comedy,Humoristisches Intermezzo,urbaine,Q107247835,bpt6k9109602r,,,Numistral,,,,,,,1897,,1897,02/05/1897,,Strasbourg,,1,4,,gsw,Personen:,,,"lot of comment about dialects / written german / french
cover nice way to see the mix of french and german elements (even typographically)","Eugène Mathis et Sophie Mathis, sa femme, sont deux habitants connus de Strasbourg et veulent aller manger au restaurant à L’Orangerie. Le restaurant est fermé car il a été réservé pour un évènement. M. Mathis insiste pour rentrer et se fait inviter par une connaissance invitée à l’évènement : Kühne, un étudiant qui habite dans l’un des logements de M. Mathis. Il les fait monter sur scène pour les présenter aux autres invités. Ils discutent ensuite de la ville, du 25e jubilé de l’université (l'événement en question fêté au restaurant), des allemands, de la famille de M et Mme Mathis, de l’époque française, du dialecte alsacien et de l’allemand… Le neveu de Mme Mathis, Dr Schaufler, un professeur qui est aussi allé à l’Université, est présent dans la salle, et discute avec les trois autres personnages du rôle de l’Université, de l’alsacien… Dr. Schaufler invite M. Mathis à une sortie organisée par l’Université le lendemain. M. et Mme Mathis rentrent chez eux car il est tard. (Synopsis by B. Hoff, MeThAL)"
80,s Afrikaner Frànzele,"Scene üs 'm algerische Colon-Lawe, Comedie in 1 Akt",rath-s-afrikaner-franzele,ntav,,,,,,Q94896314,Charles Rath,20,"Buchdruckerei von J. Brinkmann, Mühlhausen i. E.",,25,,,,comedy,,rurale,,bpt6k9109578j,,,Numistral,,,,,,,1897,,,,,,,1,,,gsw,Persone:,,,,
81,Ohne Köche,Comedie in 1 Akt,rath-ohne-koche,ntav,,,,,,Q94896314,Charles Rath,20,"Buchdruckerei von J. Brinkmann, Mühlhausen i. E.",,25,,,,comedy,,urbaine,,bpt6k9109578j,,,Numistral,,,,,,,1897,,,,,,,1,,,gsw,Persone:,,,About a cook who wants to leave the house she works at to go live with her boyfriend. The lady of the house discovers that the cook had been serving free drinks to errand boys that come to the house and similar arrangements (e.g. the milkman put water on the milk and he and the cook shared the surplus money). So she decides to take no new cook.,
82,D'r erscht Händel,E Farce in 2 Akt (mit d'r nämlich Szenerie) vum Camille Jost,jost-dr-erscht-handel,html,,,,,,Q96489174,Camille Jost,11,F. X. Le Roux & Cie Strasbourg,,3,"Le Roux Elsässisches Vereinstheater, Nº 48",,,comedy,farce,urbaine,Q106606166,bpt6k9109686f,,,Numistral,,,,,,,1928,,,,,,,2,1:6 scenes - 2:16 scenes,,gsw,Persone:,,,,"Farce en 2 actes. Une première grande dispute entre les nouveaux mariés, Lucie et Pierre. Elle se base sur une situation imaginaire et qui prend des proportions démesurées, tous les deux ne voulant pas faire le premier pas pour admettre leur tort et ayant trop de fierté et d’entêtement. Ils emploient l’aide du frère et de la cousine, se déguisant en tant que domestique et amant potentiel, pour se rendre mutuellement jaloux. Beaucoup de répliques symétriques et d’apartés. Le public assiste aux scènes avec de l’exaspération bienveillante et est soulagé de les voir se réconcilier à la fin (+ création d’un nouveau couple).  (Synopsis by A. Li-Thiao-Té, MeThAL)"
