,word,valence,arousal,dominance
5360,dorky,0.302,0.480,0.390
5361,dortoir,0.719,0.194,0.327
5362,dormant,0.385,0.245,0.245
5363,dortoir,0.633,0.204,0.382
5364,dorsal,0.449,0.360,0.445
5365,dosage,0.344,0.450,0.490
5366,dose,0.458,0.490,0.427
5367,dossier,0.357,0.380,0.544
5368,point,0.434,0.290,0.391
5369,adorant,0.888,0.415,0.426
5370,pointé,0.480,0.347,0.426
5371,toqué,0.375,0.402,0.393
5372,double,0.677,0.378,0.569
5373,doublé,0.427,0.536,0.560
5374,pourpoint,0.420,0.431,0.500
5375,doubler,0.459,0.452,0.464
5376,doute,0.395,0.351,0.231
5377,douteux,0.250,0.465,0.241
5378,douter,0.224,0.560,0.189
5379,sans aucun doute,0.688,0.415,0.689
5380,les doutes,0.306,0.448,0.305
5381,douche,0.490,0.413,0.397
5382,douchebags,0.327,0.587,0.366
5383,pâte,0.588,0.229,0.391
5384,sammy,0.365,0.443,0.396
5385,beignet,0.663,0.380,0.279
5386,austère,0.360,0.404,0.325
5387,éteindre,0.365,0.453,0.412
5388,Colombe,0.729,0.235,0.437
5389,vers le bas,0.208,0.330,0.264
5390,abattu,0.071,0.500,0.222
5391,plus bas,0.120,0.594,0.226
5392,chute,0.200,0.717,0.182
5393,champ bas,0.521,0.330,0.380
5394,découragé,0.119,0.461,0.255
5395,une descente,0.292,0.573,0.279
5396,Télécharger,0.602,0.490,0.503
5397,averse,0.328,0.602,0.481
5398,carrément,0.625,0.454,0.679
5399,en aval,0.542,0.469,0.279
5400,inconvénient,0.190,0.400,0.246
5401,temps d'arrêt,0.240,0.226,0.324
5402,vers le bas,0.188,0.347,0.255
5403,duveteux,0.630,0.170,0.255
5404,dot,0.604,0.453,0.544
5405,sommeiller,0.592,0.200,0.405
5406,douzaine,0.583,0.343,0.425
5407,terne,0.327,0.300,0.242
5408,Brouillon,0.438,0.360,0.351
5409,drafty,0.458,0.500,0.518
5410,traîne,0.388,0.606,0.348
5411,dragon,0.541,0.821,0.712
5412,libellule,0.571,0.373,0.357
5413,drainer,0.277,0.470,0.222
5414,drainage,0.219,0.354,0.307
5415,drainé,0.310,0.441,0.352
5416,évacuation,0.337,0.396,0.304
5417,drainpipe,0.417,0.413,0.277
5418,canard,0.467,0.411,0.452
5419,drame,0.430,0.755,0.481
5420,NO TRANSLATION,0.337,0.682,0.482
5421,dramatique,0.367,0.780,0.443
5422,draper,0.417,0.439,0.404
5423,draperie,0.479,0.220,0.223
5424,radical,0.194,0.839,0.657
5425,NO TRANSLATION,0.302,0.516,0.409
5426,Brouillon,0.465,0.245,0.316
5427,dessiner,0.704,0.449,0.481
5428,inconvénient,0.302,0.422,0.148
5429,pont-levis,0.551,0.557,0.438
5430,tiroir,0.429,0.196,0.292
5431,tiroirs,0.539,0.260,0.236
5432,dessin,0.698,0.216,0.333
5433,crainte,0.153,0.792,0.368
5434,redouté,0.122,0.706,0.460
5435,horrible,0.092,0.786,0.348
5436,terriblement,0.246,0.806,0.306
5437,appréhender,0.125,0.760,0.377
5438,rêver,0.844,0.157,0.328
5439,dreamboat,0.776,0.491,0.458
5440,rêveur,0.820,0.394,0.455
5441,rêver,0.854,0.320,0.336
5442,pays de rêve,0.844,0.471,0.566
5443,rêves,0.865,0.415,0.530
5444,rêvé,0.812,0.380,0.518
5445,rêveur,0.837,0.350,0.500
5446,morne,0.260,0.490,0.324
5447,drague,0.427,0.445,0.444
5448,trempé,0.302,0.361,0.388
5449,robe,0.760,0.300,0.345
5450,la commode,0.604,0.398,0.473
5451,couturière,0.698,0.460,0.483
5452,habillé,0.800,0.570,0.696
5453,NO TRANSLATION,0.417,0.551,0.465
5454,séché,0.427,0.260,0.385
5455,plus sec,0.306,0.347,0.392
5456,dérive,0.316,0.520,0.375
5457,dérivé,0.312,0.542,0.310
5458,vagabond,0.449,0.512,0.391
5459,bois flotté,0.321,0.283,0.439
5460,percer,0.250,0.602,0.573
5461,boisson,0.650,0.552,0.474
5462,buveur,0.365,0.735,0.441
5463,en buvant,0.562,0.459,0.317
5464,boissons,0.729,0.656,0.412
5465,goutte,0.392,0.193,0.175
5466,égouttage,0.302,0.257,0.267
5467,conduire,0.625,0.689,0.713
5468,radotage,0.398,0.469,0.463
5469,chauffeur,0.553,0.538,0.637
5470,allée,0.612,0.392,0.689
5471,bruine,0.521,0.353,0.319
5472,drôle,0.459,0.573,0.422
5473,drone,0.429,0.686,0.596
5474,des drones,0.398,0.577,0.588
5475,baver,0.385,0.398,0.204
5476,tombant,0.245,0.558,0.353
5477,tombant,0.438,0.350,0.297
5478,laissez tomber,0.479,0.321,0.291
5479,gouttelette,0.625,0.208,0.194
5480,abandonner,0.253,0.550,0.481
5481,compte-gouttes,0.333,0.216,0.236
5482,sécheresse,0.133,0.353,0.267
5483,NO TRANSLATION,0.541,0.528,0.623
5484,noyer,0.071,0.860,0.270
5485,somnolence,0.260,0.194,0.303
5486,somnolent,0.375,0.180,0.240
5487,corvée,0.094,0.522,0.241
5488,drogue,0.214,0.790,0.453
5489,trafic de drogue,0.042,0.843,0.500
5490,drogué,0.102,0.750,0.321
5491,pharmacien,0.240,0.561,0.417
5492,drogues,0.167,0.750,0.368
5493,pharmacie,0.490,0.343,0.518
5494,druide,0.517,0.445,0.481
5495,tambour,0.615,0.679,0.339
5496,le batteur,0.646,0.700,0.564
5497,tambour,0.594,0.750,0.426
5498,ivre,0.194,0.800,0.250
5499,alcool au volant,0.073,0.900,0.306
5500,ivrogne,0.240,0.873,0.250
5501,ivre,0.155,0.849,0.250
5502,ivresse,0.214,0.774,0.336
5503,sec,0.363,0.169,0.311
5504,séchoir,0.479,0.343,0.277
5505,sécheresse,0.292,0.296,0.263
5506,double,0.573,0.330,0.384
5507,dualisme,0.490,0.406,0.536
5508,dualité,0.438,0.520,0.503
5509,Dub,0.510,0.480,0.387
5510,douteux,0.414,0.480,0.198
5511,duchesse,0.656,0.548,0.711
5512,canard,0.594,0.337,0.236
5513,esquiver,0.344,0.573,0.294
5514,caneton,0.602,0.353,0.263
5515,mignon,0.520,0.430,0.368
5516,canal,0.449,0.435,0.430
5517,ductile,0.508,0.420,0.433
5518,raté,0.167,0.455,0.246
5519,mec,0.809,0.356,0.615
5520,nippes,0.347,0.311,0.339
5521,dû,0.562,0.340,0.467
5522,duel,0.271,0.696,0.589
5523,droits,0.367,0.461,0.288
5524,duo,0.694,0.693,0.527
5525,molleton,0.500,0.400,0.384
5526,pirogue,0.490,0.370,0.463
5527,duh,0.357,0.461,0.364
5528,Duc,0.667,0.440,0.669
5529,terne,0.194,0.120,0.185
5530,lourdaud,0.450,0.480,0.365
5531,stupide,0.188,0.330,0.151
5532,imbéciles,0.316,0.590,0.363
5533,haltère,0.302,0.469,0.364
5534,NO TRANSLATION,0.281,0.636,0.393
5535,dumfound,0.271,0.551,0.295
5536,NO TRANSLATION,0.406,0.481,0.400
5537,mannequin,0.440,0.144,0.250
5538,déverser,0.345,0.500,0.370
5539,boulette,0.580,0.321,0.360
5540,décharges,0.302,0.583,0.365
5541,poubelle,0.229,0.418,0.101
5542,dun,0.458,0.431,0.339
5543,cancre,0.188,0.327,0.146
5544,dune,0.459,0.173,0.414
5545,NO TRANSLATION,0.104,0.549,0.149
5546,cachot,0.276,0.608,0.440
5547,tremper,0.406,0.333,0.475
5548,duo,0.510,0.500,0.447
5549,dupe,0.184,0.760,0.327
5550,duplex,0.592,0.452,0.467
5551,dupliquer,0.521,0.490,0.338
5552,reproduction,0.480,0.564,0.577
5553,duplicité,0.406,0.500,0.578
5554,durabilité,0.750,0.398,0.813
5555,durable,0.740,0.294,0.688
5556,durée,0.656,0.370,0.536
5557,contrainte,0.302,0.569,0.612
5558,crépuscule,0.532,0.276,0.519
5559,sombre,0.229,0.528,0.324
5560,poussière,0.344,0.246,0.241
5561,Duster,0.408,0.265,0.296
5562,pelle à poussière,0.609,0.466,0.371
5563,poussiéreux,0.406,0.294,0.255
5564,respectueux,0.724,0.245,0.585
5565,devoir,0.583,0.579,0.651
5566,nain,0.370,0.340,0.288
5567,nain,0.365,0.265,0.293
5568,Dweeb,0.354,0.446,0.327
5569,habiter,0.698,0.245,0.611
5570,habitant,0.615,0.304,0.500
5571,habitation,0.765,0.330,0.481
5572,colorant,0.479,0.314,0.371
5573,en train de mourir,0.040,0.664,0.422
5574,digue,0.438,0.396,0.566
5575,dynamique,0.724,0.750,0.836
5576,dynamique,0.786,0.730,0.827
5577,dynamique,0.745,0.682,0.774
5578,dynamiter,0.344,0.860,0.783
5579,dynamo,0.531,0.650,0.593
5580,dynastie,0.725,0.588,0.936
5581,dysenterie,0.260,0.528,0.345
5582,dysfonctionnement,0.156,0.410,0.386
5583,dysfonctionnel,0.125,0.558,0.307
5584,dyspepsie,0.212,0.470,0.460
5585,désireux,0.521,0.812,0.306
5586,ardeur,0.406,0.621,0.443
5587,Aigle,0.604,0.594,0.679
5588,oreille,0.469,0.216,0.231
5589,attentionné,0.533,0.462,0.443
5590,comte,0.582,0.461,0.794
5591,plus tôt,0.562,0.352,0.339
5592,de bonne heure,0.633,0.373,0.426
5593,gagner,0.865,0.769,0.817
5594,sérieux,0.653,0.380,0.670
5595,sérieusement,0.847,0.490,0.717
5596,sérieux,0.812,0.373,0.615
5597,gains,0.938,0.650,0.875
5598,écouteur,0.583,0.286,0.452
5599,boucle d'oreille,0.583,0.520,0.500
5600,des boucles d'oreilles,0.676,0.346,0.517
5601,oreille,0.552,0.332,0.408
5602,Terre,0.750,0.225,0.614
5603,faïence,0.552,0.210,0.320
5604,terrien,0.531,0.412,0.570
5605,terrestre,0.625,0.318,0.518
5606,tremblement de terre,0.073,0.930,0.812
5607,terreux,0.375,0.413,0.404
5608,facilité,0.796,0.385,0.491
5609,chevalet,0.694,0.340,0.527
5610,servitude,0.479,0.345,0.302
5611,facilement,0.885,0.279,0.453
5612,est,0.510,0.250,0.317
5613,en direction est,0.541,0.408,0.402
5614,est,0.521,0.420,0.480
5615,facile,0.865,0.194,0.373
5616,facile à vivre,0.823,0.276,0.538
5617,manger,0.731,0.500,0.464
5618,mangeur,0.459,0.337,0.510
5619,en mangeant,0.847,0.491,0.615
5620,NO TRANSLATION,0.365,0.608,0.508
5621,espion,0.375,0.710,0.368
5622,écoute,0.490,0.380,0.441
5623,reflux,0.354,0.451,0.404
5624,ébène,0.490,0.317,0.400
5625,exubérant,0.659,0.856,0.746
5626,excentrique,0.531,0.806,0.721
5627,excentricité,0.408,0.735,0.745
5628,ecclésiastique,0.673,0.270,0.660
5629,échelon,0.490,0.404,0.425
5630,l'échinacée,0.592,0.418,0.454
5631,écho,0.573,0.373,0.345
5632,éclectique,0.646,0.542,0.508
5633,éclipse,0.541,0.469,0.616
5634,écliptique,0.531,0.520,0.556
5635,écologique,0.885,0.290,0.607
5636,économique,0.561,0.408,0.639
5637,économique,0.667,0.564,0.673
5638,économie,0.625,0.481,0.632
5639,économie,0.583,0.434,0.771
5640,écosystème,0.729,0.259,0.633
5641,extase,0.796,0.922,0.655
5642,en extase,0.875,0.769,0.742
5643,œcuménique,0.561,0.450,0.547
5644,tourbillon,0.500,0.394,0.350
5645,œdème,0.250,0.519,0.318
5646,bord,0.439,0.470,0.468
5647,bordure,0.479,0.394,0.370
5648,énervé,0.281,0.895,0.306
5649,comestible,0.750,0.425,0.497
5650,décret,0.316,0.547,0.560
5651,édification,0.625,0.481,0.697
5652,édifice,0.551,0.403,0.610
5653,modifier,0.510,0.410,0.544
5654,édition,0.604,0.404,0.493
5655,édition,0.542,0.455,0.564
5656,éditeur,0.772,0.431,0.673
5657,éditorial,0.583,0.330,0.570
5658,éduquer,0.760,0.380,0.728
5659,éduqué,0.816,0.297,0.625
5660,éducation,0.896,0.275,0.840
5661,éducatif,0.745,0.457,0.764
5662,éducateur,0.827,0.317,0.845
5663,NO TRANSLATION,0.367,0.540,0.349
5664,NO TRANSLATION,0.333,0.490,0.302
5665,eek,0.292,0.529,0.343
5666,anguille,0.292,0.564,0.487
5667,sinistre,0.265,0.771,0.442
5668,effet,0.570,0.518,0.608
5669,efficace,0.844,0.632,0.891
5670,efficacité,0.640,0.654,0.812
5671,effets,0.470,0.578,0.379
5672,efficace,0.776,0.559,0.820
5673,efficacement,0.724,0.500,0.594
5674,effectuer,0.510,0.602,0.679
5675,efféminé,0.337,0.619,0.291
5676,efficace,0.823,0.698,0.845
5677,efficacité,0.802,0.490,0.906
5678,Efficacité,0.802,0.509,0.892
5679,efficace,0.959,0.604,0.830
5680,effigie,0.510,0.440,0.401
5681,effort,0.698,0.778,0.858
5682,sans effort,0.626,0.090,0.352
5683,effusion,0.344,0.730,0.472
5684,NO TRANSLATION,0.354,0.529,0.490
5685,Oeuf,0.684,0.241,0.293
5686,intellectuel,0.316,0.492,0.284
5687,Lait de poule,0.635,0.360,0.259
5688,aubergine,0.592,0.152,0.323
5689,coquille d'oeuf,0.408,0.269,0.212
5690,ego,0.328,0.576,0.593
5691,égomaniaque,0.133,0.708,0.596
5692,égoïste,0.156,0.667,0.363
5693,énorme,0.150,0.716,0.442
5694,sortie,0.490,0.429,0.287
5695,huit,0.540,0.199,0.315
5696,dix-huit,0.523,0.340,0.404
5697,huitième,0.531,0.226,0.380
5698,quatre-vingts,0.500,0.300,0.453
5699,éjaculer,0.604,0.896,0.604
5700,éjaculation,0.615,0.893,0.547
5701,éjecter,0.434,0.656,0.559
5702,éjection,0.188,0.836,0.554
5703,élaborer,0.561,0.367,0.680
5704,élaboration,0.708,0.500,0.598
5705,NO TRANSLATION,0.562,0.367,0.500
5706,s'écouler,0.514,0.440,0.455
5707,écoulé,0.583,0.451,0.493
5708,élastique,0.656,0.518,0.385
5709,élasticité,0.635,0.452,0.582
5710,exalté,0.792,0.960,0.725
5711,allégresse,0.740,0.853,0.623
5712,coude,0.448,0.133,0.254
5713,eld,0.471,0.292,0.451
5714,aîné,0.448,0.153,0.462
5715,personnes âgées,0.615,0.212,0.283
5716,aînés,0.602,0.260,0.441
5717,aîné,0.625,0.471,0.741
5718,élire,0.667,0.554,0.661
5719,élection,0.625,0.519,0.651
5720,électif,0.612,0.380,0.623
5721,électeur,0.479,0.520,0.766
5722,électoral,0.490,0.631,0.602
5723,électorat,0.560,0.380,0.696
5724,électrique,0.458,0.708,0.512
5725,glissière électrique,0.542,0.660,0.536
5726,électrique,0.531,0.620,0.688
5727,électricien,0.449,0.590,0.620
5728,électricité,0.698,0.810,0.733
5729,électrifier,0.520,0.769,0.737
5730,électrocuter,0.271,0.731,0.555
5731,électrocution,0.177,0.844,0.692
5732,électromagnétique,0.531,0.632,0.683
5733,électron,0.520,0.455,0.560
5734,électronique,0.571,0.490,0.704
5735,électronique,0.708,0.545,0.574
5736,élégance,0.918,0.396,0.824
5737,élégant,0.865,0.500,0.685
5738,élément,0.531,0.259,0.481
5739,élémentaire,0.627,0.306,0.711
5740,élémentaire,0.594,0.286,0.686
5741,éléments,0.510,0.312,0.462
5742,l'éléphant,0.531,0.510,0.615
5743,élever,0.812,0.500,0.804
5744,élevé,0.704,0.594,0.620
5745,élévation,0.760,0.759,0.711
5746,ascenseur,0.562,0.604,0.676
5747,Onze,0.449,0.250,0.430
5748,onzième,0.594,0.329,0.357
5749,elfe,0.460,0.457,0.315
5750,obtenir,0.406,0.594,0.658
5751,éligible,0.750,0.400,0.518
5752,éliminer,0.265,0.670,0.324
5753,élimination,0.052,0.667,0.431
5754,élite,0.688,0.704,0.737
5755,élitiste,0.500,0.606,0.656
5756,élixir,0.708,0.587,0.604
5757,wapiti,0.439,0.337,0.340
5758,aune,0.469,0.418,0.373
5759,ellipse,0.531,0.410,0.479
5760,ellipse,0.653,0.358,0.314
5761,ellipsoïde,0.500,0.440,0.419
5762,elliptique,0.500,0.431,0.528
5763,elliptique,0.338,0.385,0.490
5764,orme,0.510,0.345,0.321
5765,allongé,0.583,0.385,0.540
5766,élongation,0.561,0.500,0.500
5767,elope,0.396,0.694,0.528
5768,éloquence,0.729,0.490,0.804
5769,éloquent,0.870,0.680,0.741
5770,élucider,0.583,0.509,0.518
5771,élucidation,0.650,0.574,0.586
5772,éluder,0.438,0.521,0.464
5773,insaisissable,0.229,0.615,0.466
5774,émacié,0.103,0.541,0.151
5775,email,0.698,0.230,0.456
5776,émaner,0.653,0.464,0.554
5777,émancipation,0.704,0.684,0.763
5778,digue,0.677,0.438,0.436
5779,NO TRANSLATION,0.229,0.564,0.443
5780,embarquer,0.541,0.550,0.619
5781,embarrasser,0.082,0.667,0.364
5782,embarrassé,0.184,0.560,0.246
5783,gênant,0.226,0.809,0.225
5784,embarras,0.143,0.685,0.226
5785,ambassade,0.622,0.333,0.758
5786,assiégé,0.235,0.724,0.421
5787,intégrer,0.417,0.554,0.670
5788,embellir,0.842,0.500,0.769
5789,embellissement,0.673,0.449,0.405
5790,braise,0.490,0.481,0.508
5791,détournement de fonds,0.143,0.827,0.435
5792,malfaiteur,0.146,0.823,0.491
5793,emblème,0.640,0.330,0.754
5794,emblématique,0.771,0.459,0.798
5795,réalisation,0.562,0.690,0.663
5796,embolie,0.104,0.660,0.302
5797,en relief,0.531,0.481,0.500
5798,embrasse,0.949,0.490,0.452
5799,brodé,0.677,0.279,0.407
5800,broderie,0.781,0.358,0.280
5801,impliqué,0.337,0.721,0.420
5802,embryon,0.673,0.469,0.453
5803,embryonnaire,0.573,0.453,0.598
5804,emcee,0.694,0.577,0.691
5805,émeraude,0.740,0.363,0.726
5806,émerger,0.602,0.594,0.731
5807,émergence,0.276,0.857,0.676
5808,urgence,0.200,0.900,0.571
5809,émérite,0.633,0.402,0.735
5810,émeri,0.469,0.583,0.472
5811,émétophobie,0.243,0.620,0.403
5812,émigrer,0.356,0.812,0.508
5813,émigration,0.564,0.664,0.432
5814,éminence,0.816,0.644,0.837
5815,éminent,0.740,0.620,0.830
5816,éminemment,0.694,0.607,0.773
5817,NO TRANSLATION,0.510,0.396,0.621
5818,émissaire,0.562,0.462,0.636
5819,émission,0.510,0.453,0.591
5820,émettre,0.638,0.445,0.510
5821,emo,0.354,0.314,0.226
5822,émotion,0.693,0.873,0.696
5823,émotif,0.779,0.714,0.526
5824,sensible,0.917,0.741,0.525
5825,empathique,0.760,0.570,0.558
5826,empathiser,0.802,0.591,0.660
5827,empathie,0.729,0.349,0.545
5828,empereur,0.651,0.704,0.962
5829,accentuation,0.653,0.745,0.816
5830,souligner,0.510,0.605,0.769
5831,catégorique,0.615,0.707,0.732
5832,emphysème,0.156,0.556,0.336
5833,Empire,0.688,0.730,0.944
5834,empirique,0.500,0.510,0.574
5835,empirisme,0.583,0.460,0.547
5836,employer,0.729,0.481,0.702
5837,employé,0.582,0.361,0.481
5838,employeur,0.663,0.518,0.767
5839,emploi,0.750,0.594,0.611
5840,centre commercial,0.622,0.556,0.724
5841,habiliter,0.694,0.779,0.891
5842,impératrice,0.716,0.669,0.855
5843,vide,0.177,0.173,0.184
5844,l'emption,0.570,0.406,0.458
5845,vide,0.188,0.183,0.081
5846,émeu,0.420,0.358,0.330
5847,imiter,0.438,0.340,0.549
5848,émulsion,0.562,0.431,0.453
5849,activer,0.760,0.491,0.782
5850,activation,0.600,0.451,0.750
5851,promulguer,0.680,0.564,0.598
5852,promulgation,0.667,0.612,0.769
5853,émail,0.594,0.280,0.306
5854,campement,0.677,0.573,0.605
5855,enchanter,0.873,0.650,0.643
5856,enchanté,0.917,0.633,0.687
5857,enchanteur,0.917,0.681,0.708
5858,enchantement,0.816,0.775,0.647
5859,enchanteresse,0.398,0.663,0.479
5860,enchilada,0.542,0.553,0.371
5861,encercler,0.460,0.500,0.519
5862,encerclant,0.510,0.368,0.557
5863,enclave,0.531,0.333,0.580
5864,joindre,0.531,0.477,0.473
5865,enceinte,0.417,0.375,0.490
5866,encoder,0.490,0.500,0.734
5867,NO TRANSLATION,0.541,0.500,0.670
5868,panégyrique,0.541,0.451,0.519
5869,englober,0.520,0.298,0.661
5870,NO TRANSLATION,0.510,0.423,0.500
5871,rencontre,0.865,0.702,0.689
5872,encourager,0.896,0.580,0.704
5873,encouragé,0.953,0.702,0.657
5874,encouragement,0.865,0.700,0.759
5875,encourageant,0.823,0.583,0.755
5876,empiéter,0.302,0.742,0.702
5877,empiètement,0.255,0.736,0.620
5878,Crypter,0.500,0.387,0.500
5879,cryptage,0.547,0.415,0.474
5880,encombrement,0.300,0.521,0.480
5881,encyclopédie,0.679,0.320,0.645
5882,fin,0.198,0.349,0.298
5883,fin de table,0.541,0.480,0.482
5884,mettre en danger,0.115,0.885,0.404
5885,en voie de disparition,0.083,0.885,0.430
5886,mise en danger,0.167,0.873,0.519
5887,attachant,0.663,0.434,0.604
5888,effort,0.677,0.755,0.765
5889,terminé,0.302,0.500,0.500
5890,endémique,0.406,0.480,0.483
5891,fin du jeu,0.449,0.538,0.526
5892,fin,0.344,0.365,0.492
5893,interminable,0.347,0.462,0.472
5894,endocardite,0.235,0.587,0.412
5895,endosser,0.592,0.392,0.472
5896,approbation,0.834,0.360,0.611
5897,doter,0.684,0.398,0.609
5898,doté,0.755,0.510,0.769
5899,dotation,0.685,0.578,0.647
5900,les journaux,0.542,0.400,0.339
5901,point final,0.311,0.410,0.448
5902,endurance,0.592,0.745,0.760
5903,supporter,0.320,0.610,0.574
5904,durable,0.633,0.459,0.768
5905,lavement,0.281,0.673,0.268
5906,ennemi,0.135,0.794,0.591
5907,énergique,0.847,0.868,0.902
5908,dynamiser,0.792,0.810,0.875
5909,énergie,0.944,0.725,0.868
5910,imposer,0.583,0.644,0.836
5911,mise en vigueur,0.594,0.571,0.736
5912,enforcer,0.398,0.612,0.639
5913,engager,0.771,0.796,0.713
5914,engagé,0.837,0.596,0.849
5915,engagement,0.906,0.587,0.807
5916,engageant,0.948,0.612,0.862
5917,engendrer,0.561,0.741,0.688
5918,moteur,0.615,0.644,0.676
5919,ingénieur,0.719,0.500,0.875
5920,ingénierie,0.735,0.471,0.836
5921,graver,0.486,0.442,0.517
5922,gravé,0.542,0.375,0.473
5923,graveur,0.552,0.417,0.500
5924,gravure,0.604,0.430,0.442
5925,absorbé,0.541,0.471,0.304
5926,captivant,0.698,0.702,0.750
5927,engloutir,0.398,0.573,0.500
5928,améliorer,0.802,0.578,0.814
5929,renforcement,0.877,0.490,0.741
5930,énigme,0.513,0.700,0.500
5931,énigmatique,0.469,0.589,0.679
5932,enjoindre,0.594,0.454,0.732
5933,prendre plaisir,0.959,0.725,0.750
5934,agréable,1.000,0.481,0.605
5935,appréciant,0.908,0.759,0.759
5936,jouissance,0.930,0.612,0.716
5937,agrandir,0.735,0.606,0.688
5938,agrandi,0.673,0.490,0.518
5939,élargissement,0.677,0.577,0.616
5940,éclairer,0.729,0.549,0.667
5941,éclairé,0.956,0.566,0.700
5942,éclairant,0.825,0.729,0.727
5943,éclaircissement,0.837,0.549,0.619
5944,enrôler,0.510,0.370,0.483
5945,animer,0.833,0.683,0.702
5946,hostilité,0.094,0.706,0.382
5947,ennui,0.406,0.461,0.316
5948,énormité,0.594,0.648,0.848
5949,énorme,0.677,0.665,0.886
5950,énormément,0.760,0.694,0.872
5951,furieux,0.083,0.962,0.636
5952,enrichir,0.896,0.731,0.705
5953,inscrire,0.696,0.530,0.611
5954,inscription,0.667,0.391,0.698
5955,ensemble,0.697,0.418,0.586
5956,insigne,0.663,0.270,0.545
5957,asservir,0.073,0.800,0.481
5958,esclave,0.104,0.720,0.321
5959,asservissement,0.086,0.635,0.302
5960,résulter,0.698,0.363,0.332
5961,assurer,0.737,0.406,0.759
5962,entraîner,0.484,0.630,0.645
5963,enchevêtré,0.319,0.578,0.357
5964,enchevêtrement,0.302,0.765,0.248
5965,entrer,0.708,0.470,0.500
5966,entreprise,0.760,0.392,0.754
5967,entreprenant,0.865,0.784,0.875
5968,divertir,0.918,0.684,0.598
5969,amusé,0.902,0.644,0.712
5970,artiste,0.888,0.709,0.759
5971,divertissant,0.833,0.658,0.660
5972,divertissement,0.847,0.750,0.569
5973,captivé,0.745,0.602,0.615
5974,enthousiasme,0.938,0.816,0.798
5975,passionné,0.867,0.810,0.875
5976,enthousiaste,0.885,0.868,0.848
5977,attirer,0.521,0.887,0.518
5978,tout,0.689,0.462,0.698
5979,intégralité,0.854,0.460,0.804
5980,droit,0.729,0.333,0.827
5981,entité,0.542,0.402,0.670
5982,entomologie,0.438,0.396,0.545
5983,entourage,0.491,0.567,0.467
5984,entrailles,0.365,0.538,0.387
5985,entrée,0.698,0.393,0.526
5986,piégeage,0.177,0.604,0.441
5987,supplier,0.304,0.560,0.462
5988,entrée,0.615,0.477,0.624
5989,entrepreneur,0.885,0.704,0.920
5990,confier,0.693,0.310,0.630
5991,entrée,0.552,0.353,0.602
5992,énumérer,0.521,0.390,0.491
5993,énumération,0.548,0.327,0.534
5994,enveloppe,0.604,0.275,0.377
5995,envieux,0.110,0.754,0.341
5996,NO TRANSLATION,0.724,0.221,0.433
5997,environnement,0.646,0.194,0.528
5998,environnement,0.633,0.313,0.664
5999,environs,0.561,0.288,0.345
6000,envisager,0.625,0.449,0.483
6001,envoyé,0.531,0.375,0.586
6002,envie,0.240,0.704,0.427
6003,enzyme,0.562,0.277,0.481
6004,éphémère,0.500,0.312,0.377
6005,éphémérides,0.640,0.380,0.528
6006,épique,0.857,0.713,0.830
6007,épidémie,0.092,0.830,0.611
6008,épiderme,0.418,0.490,0.426
6009,péridurale,0.347,0.452,0.525
6010,épilepsie,0.061,0.854,0.250
6011,épileptique,0.146,0.794,0.340
6012,épilogue,0.582,0.353,0.466
6013,Épiphanie,0.625,0.596,0.526
6014,épiscopal,0.542,0.314,0.750
6015,épisode,0.719,0.367,0.509
6016,épisodique,0.531,0.542,0.462
6017,épître,0.604,0.417,0.535
6018,épitaphe,0.276,0.323,0.442
6019,épithète,0.530,0.394,0.524
6020,exemple,0.510,0.500,0.667
6021,époque,0.553,0.343,0.797
6022,égal,0.781,0.178,0.407
6023,égalité,0.898,0.305,0.716
6024,égalisation,0.625,0.422,0.423
6025,égaliser,0.738,0.281,0.574
6026,égaliseur,0.604,0.451,0.586
6027,également,0.625,0.264,0.436
6028,assimiler,0.724,0.382,0.624
6029,équation,0.479,0.384,0.608
6030,équateur,0.550,0.302,0.462
6031,équatorial,0.550,0.271,0.593
6032,équestre,0.633,0.519,0.417
6033,équidistant,0.375,0.406,0.509
6034,équilibration,0.724,0.317,0.593
6035,équilibre,0.676,0.235,0.620
6036,équiper,0.650,0.519,0.713
6037,équipement,0.745,0.495,0.700
6038,équitable,0.714,0.286,0.750
6039,équité,0.792,0.304,0.614
6040,équivalence,0.663,0.250,0.582
6041,équivalent,0.646,0.347,0.500
6042,équivoque,0.327,0.482,0.257
6043,ère,0.615,0.407,0.449
6044,éradiquer,0.260,0.690,0.686
6045,éradication,0.208,0.788,0.685
6046,effacer,0.240,0.260,0.321
6047,la gomme,0.458,0.209,0.311
6048,effacement,0.281,0.360,0.265
6049,NO TRANSLATION,0.479,0.312,0.377
6050,ériger,0.643,0.885,0.627
6051,érectile,0.542,0.796,0.625
6052,érection,0.640,0.856,0.695
6053,NO TRANSLATION,0.385,0.400,0.385
6054,éroder,0.208,0.643,0.580
6055,érosion,0.312,0.770,0.465
6056,érotique,0.625,0.946,0.683
6057,érotique,0.781,0.870,0.579
6058,se tromper,0.146,0.660,0.236
6059,course,0.385,0.519,0.482
6060,errant,0.205,0.602,0.375
6061,erratique,0.271,0.503,0.217
6062,erratum,0.327,0.528,0.436
6063,erroné,0.057,0.561,0.245
6064,Erreur,0.094,0.559,0.198
6065,NO TRANSLATION,0.277,0.422,0.357
6066,érudit,0.719,0.434,0.774
6067,éclater,0.188,0.820,0.818
6068,éruption,0.156,0.913,0.733
6069,escalade,0.480,0.724,0.442
